y,viscosity_learned,viscosity_reference,absolute_error,relative_error_percent,learned_viscosity_param,reference_viscosity_param,base_viscosity
0.07537688442211056,0.00878692054643703,0.011030150753768845,0.0022432302073318155,20.337257916128987,0.05023981258273125,0.08,0.005
0.08040201005025126,0.009039381916199497,0.0114321608040201,0.0023927788878206034,20.930241700057145,0.05023981258273125,0.08,0.005
0.08542713567839195,0.009291843285961967,0.011834170854271357,0.0025423275683093896,21.48293783836809,0.05023981258273125,0.08,0.005
0.09045226130653267,0.009544304655724435,0.012236180904522612,0.0026918762487981775,21.999317187303383,0.05023981258273125,0.08,0.005
0.09547738693467336,0.009796766025486903,0.012638190954773868,0.0028414249292869655,22.48284536493464,0.05023981258273125,0.08,0.005
0.10050251256281408,0.010049227395249372,0.013040201005025127,0.002990973609775755,22.936560629879583,0.05023981258273125,0.08,0.005
0.10552763819095477,0.01030168876501184,0.013442211055276383,0.003140522290264543,23.363137785519402,0.05023981258273125,0.08,0.005
0.11055276381909548,0.010554150134774308,0.013844221105527639,0.003290070970753331,23.764940950269068,0.05023981258273125,0.08,0.005
0.11557788944723618,0.010806611504536778,0.014246231155778895,0.003439619651242117,24.144067393198636,0.05023981258273125,0.08,0.005
0.12060301507537688,0.011059072874299246,0.01464824120603015,0.003589168331730905,24.502384151439113,0.05023981258273125,0.08,0.005
0.12562814070351758,0.011311534244061713,0.015050251256281406,0.003738717012219693,24.841558779022336,0.05023981258273125,0.08,0.005
0.1306532663316583,0.011563995613824183,0.015452261306532666,0.0038882656927084827,25.16308529590205,0.05023981258273125,0.08,0.005
0.135678391959799,0.011816456983586653,0.01585427135678392,0.004037814373197269,25.4683061891048,0.05023981258273125,0.08,0.005
0.1407035175879397,0.01206891835334912,0.016256281407035177,0.004187363053686057,25.758431149413454,0.05023981258273125,0.08,0.005
0.1457286432160804,0.012321379723111588,0.016658291457286433,0.004336911734174845,26.034553095046576,0.05023981258273125,0.08,0.005
0.15075376884422112,0.012573841092874058,0.01706030150753769,0.004486460414663631,26.297661929839837,0.05023981258273125,0.08,0.005
0.15577889447236182,0.012826302462636528,0.017462311557788945,0.004636009095152417,26.548656401016718,0.05023981258273125,0.08,0.005
0.16080402010050251,0.013078763832398994,0.0178643216080402,0.004785557775641207,26.788354355909995,0.05023981258273125,0.08,0.005
0.1658291457286432,0.013331225202161463,0.018266331658291456,0.004935106456129993,27.017501644287993,0.05023981258273125,0.08,0.005
0.1708542713567839,0.013583686571923933,0.018668341708542712,0.005084655136618779,27.236779870447837,0.05023981258273125,0.08,0.005
0.17587939698492464,0.013836147941686402,0.01907035175879397,0.005234203817107569,27.446813164806482,0.05023981258273125,0.08,0.005
0.18090452261306533,0.014088609311448869,0.019472361809045227,0.0053837524975963585,27.648174116688395,0.05023981258273125,0.08,0.005
0.18592964824120603,0.014341070681211338,0.019874371859296483,0.005533301178085145,27.841388987078226,0.05023981258273125,0.08,0.005
0.19095477386934673,0.014593532050973804,0.02027638190954774,0.005682849858573934,28.02694230126922,0.05023981258273125,0.08,0.005
0.19597989949748745,0.014845993420736274,0.020678391959798998,0.005832398539062724,28.205280905795426,0.05023981258273125,0.08,0.005
0.20100502512562815,0.015098454790498744,0.021080402010050254,0.00598194721955151,28.37681756116211,0.05023981258273125,0.08,0.005
0.20603015075376885,0.015350916160261213,0.02148241206030151,0.0061314959000402965,28.54193413118173,0.05023981258273125,0.08,0.005
0.21105527638190955,0.01560337753002368,0.021884422110552765,0.006281044580529086,28.70098442078732,0.05023981258273125,0.08,0.005
0.21608040201005024,0.01585583889978615,0.02228643216080402,0.006430593261017872,28.85429670670928,0.05023981258273125,0.08,0.005
0.22110552763819097,0.01610830026954862,0.02268844221105528,0.006580141941506662,29.002175999110197,0.05023981258273125,0.08,0.005
0.22613065326633167,0.016360761639311088,0.023090452261306536,0.006729690621995448,29.144906066966136,0.05023981258273125,0.08,0.005
0.23115577889447236,0.016613223009073554,0.023492462311557792,0.006879239302484238,29.2827512554944,0.05023981258273125,0.08,0.005
0.23618090452261306,0.016865684378836024,0.023894472361809048,0.007028787982973024,29.415958120118436,0.05023981258273125,0.08,0.005
0.24120603015075376,0.01711814574859849,0.024296482412060304,0.007178336663461814,29.544756898219248,0.05023981258273125,0.08,0.005
0.24623115577889448,0.01737060711836096,0.02469849246231156,0.0073278853439506,29.66936283715502,0.05023981258273125,0.08,0.005
0.25125628140703515,0.01762306848812343,0.025100502512562815,0.007477434024439386,29.78997739466342,0.05023981258273125,0.08,0.005
