x,y,u_velocity,v_velocity,pressure,boundary_type,learned_viscosity_param
0.0,0.31658292,0.8179252,0.009375747,0.44493535,inlet,0.05023981258273125
0.0,0.32160804,0.8215494,0.009466108,0.4453857,inlet,0.05023981258273125
0.0,0.32663316,0.8251173,0.00953697,0.44582543,inlet,0.05023981258273125
0.0,0.33165827,0.8286469,0.009587429,0.44625697,inlet,0.05023981258273125
0.0,0.33668342,0.8321538,0.009617005,0.44668242,inlet,0.05023981258273125
0.0,0.34170854,0.83565354,0.009625331,0.4471039,inlet,0.05023981258273125
0.0,0.34673366,0.8391596,0.009612083,0.44752303,inlet,0.05023981258273125
0.0,0.35175878,0.8426838,0.009577315,0.4479415,inlet,0.05023981258273125
0.0,0.35678393,0.8462384,0.009521175,0.4483607,inlet,0.05023981258273125
0.0,0.36180905,0.84983194,0.009443898,0.44878167,inlet,0.05023981258273125
0.0,0.36683416,0.8534733,0.009346075,0.44920543,inlet,0.05023981258273125
0.0,0.37185928,0.8571696,0.009228293,0.4496328,inlet,0.05023981258273125
0.0,0.37688443,0.8609266,0.009091258,0.45006418,inlet,0.05023981258273125
0.0,0.38190955,0.8647487,0.008935984,0.4505001,inlet,0.05023981258273125
0.0,0.38693467,0.86863923,0.008763529,0.45094055,inlet,0.05023981258273125
0.0,0.3919598,0.8726007,0.008574985,0.4513857,inlet,0.05023981258273125
0.0,0.39698493,0.87663376,0.008371655,0.4518354,inlet,0.05023981258273125
0.0,0.40201005,0.8807384,0.008154828,0.45228928,inlet,0.05023981258273125
0.0,0.40703517,0.8849139,0.007925909,0.45274684,inlet,0.05023981258273125
0.0,0.4120603,0.8891574,0.0076864436,0.45320782,inlet,0.05023981258273125
0.0,0.4170854,0.89346623,0.0074378066,0.45367122,inlet,0.05023981258273125
0.0,0.42211056,0.8978363,0.0071815737,0.45413652,inlet,0.05023981258273125
0.0,0.42713568,0.9022622,0.0069193207,0.45460257,inlet,0.05023981258273125
0.0,0.4321608,0.906738,0.0066524856,0.45506868,inlet,0.05023981258273125
0.0,0.4371859,0.9112563,0.0063825473,0.45553368,inlet,0.05023981258273125
0.0,0.44221106,0.9158091,0.006111134,0.4559963,inlet,0.05023981258273125
0.0,0.44723618,0.9203869,0.0058395714,0.45645556,inlet,0.05023981258273125
0.0,0.4522613,0.9249799,0.005569201,0.45690995,inlet,0.05023981258273125
0.0,0.45728642,0.92957675,0.005301431,0.45735815,inlet,0.05023981258273125
0.0,0.46231157,0.9341651,0.005037423,0.45779866,inlet,0.05023981258273125
0.0,0.46733668,0.9387312,0.004778549,0.4582298,inlet,0.05023981258273125
0.0,0.4723618,0.94326204,0.0045257136,0.45865008,inlet,0.05023981258273125
0.0,0.47738692,0.9477415,0.004280053,0.4590575,inlet,0.05023981258273125
0.0,0.48241204,0.95215416,0.0040425174,0.45945022,inlet,0.05023981258273125
0.0,0.4874372,0.9564837,0.0038139522,0.4598264,inlet,0.05023981258273125
0.0,0.4924623,0.9607125,0.0035951957,0.46018377,inlet,0.05023981258273125
0.0,0.49748743,0.96482277,0.0033870004,0.46052024,inlet,0.05023981258273125
0.0,0.5025126,0.9687966,0.0031900294,0.46083346,inlet,0.05023981258273125
0.0,0.5075377,0.97261506,0.0030049644,0.46112087,inlet,0.05023981258273125
0.0,0.5125628,0.9762597,0.0028322935,0.4613802,inlet,0.05023981258273125
0.0,0.51758796,0.9797114,0.0026725717,0.46160865,inlet,0.05023981258273125
0.0,0.52261305,0.9829513,0.0025263615,0.46180367,inlet,0.05023981258273125
0.0,0.5276382,0.98596084,0.002394069,0.4619625,inlet,0.05023981258273125
0.0,0.53266335,0.9887209,0.002276171,0.4620823,inlet,0.05023981258273125
0.0,0.53768843,0.99121356,0.0021729767,0.46216038,inlet,0.05023981258273125
0.0,0.5427136,0.9934207,0.0020849444,0.46219382,inlet,0.05023981258273125
0.0,0.5477387,0.9953246,0.002012428,0.46217993,inlet,0.05023981258273125
0.0,0.5527638,0.9969083,0.0019556321,0.46211585,inlet,0.05023981258273125
0.0,0.55778897,0.9981555,0.0019149929,0.46199915,inlet,0.05023981258273125
0.0,0.5628141,0.9990504,0.0018906668,0.46182707,inlet,0.05023981258273125
0.0,0.5678392,0.9995785,0.0018829368,0.46159735,inlet,0.05023981258273125
0.0,0.5728643,0.9997257,0.0018920265,0.46130762,inlet,0.05023981258273125
0.0,0.57788944,0.99947846,0.0019180626,0.4609558,inlet,0.05023981258273125
0.0,0.5829146,0.9988246,0.0019613504,0.4605399,inlet,0.05023981258273125
0.0,0.58793974,0.99775267,0.0020218492,0.46005824,inlet,0.05023981258273125
0.0,0.5929648,0.9962523,0.0020998493,0.45950928,inlet,0.05023981258273125
0.0,0.5979899,0.99431336,0.0021954663,0.4588916,inlet,0.05023981258273125
0.0,0.60301507,0.991927,0.0023087747,0.45820412,inlet,0.05023981258273125
0.0,0.6080402,0.9890851,0.0024399944,0.4574458,inlet,0.05023981258273125
0.0,0.61306536,0.98577976,0.0025892816,0.45661592,inlet,0.05023981258273125
0.0,0.61809045,0.98200405,0.0027567632,0.45571372,inlet,0.05023981258273125
0.0,0.62311554,0.97775126,0.002942726,0.45473886,inlet,0.05023981258273125
0.0,0.6281407,0.9730151,0.0031474046,0.45369086,inlet,0.05023981258273125
