x,y,u_velocity,v_velocity,pressure,boundary_type,learned_viscosity_param
0.0,0.16582914,0.58557916,0.005501464,0.41223562,inlet,0.05023981258273125
0.0,0.17085427,0.59918326,0.0054092743,0.41425285,inlet,0.05023981258273125
0.0,0.17587939,0.6123598,0.005346492,0.41619757,inlet,0.05023981258273125
0.0,0.18090452,0.6250984,0.0053120255,0.4180692,inlet,0.05023981258273125
0.0,0.18592964,0.63739014,0.0053047836,0.41986722,inlet,0.05023981258273125
0.0,0.19095477,0.6492285,0.005323559,0.42159143,inlet,0.05023981258273125
0.0,0.1959799,0.66060895,0.005367052,0.4232419,inlet,0.05023981258273125
0.0,0.20100503,0.67152894,0.0054338537,0.42481896,inlet,0.05023981258273125
0.0,0.20603015,0.6819882,0.0055225305,0.42632312,inlet,0.05023981258273125
0.0,0.21105528,0.69198793,0.005631555,0.42775524,inlet,0.05023981258273125
0.0,0.2160804,0.70153207,0.0057593286,0.4291162,inlet,0.05023981258273125
0.0,0.22110553,0.7106261,0.0059041977,0.43040746,inlet,0.05023981258273125
0.0,0.22613065,0.7192782,0.006064389,0.43163052,inlet,0.05023981258273125
0.0,0.23115578,0.72749776,0.0062381513,0.43278727,inlet,0.05023981258273125
0.0,0.2361809,0.7352968,0.0064235963,0.43387955,inlet,0.05023981258273125
0.0,0.24120602,0.7426889,0.0066188164,0.43490985,inlet,0.05023981258273125
0.0,0.24623115,0.74968946,0.0068218596,0.43588063,inlet,0.05023981258273125
0.0,0.2512563,0.75631577,0.007030718,0.43679458,inlet,0.05023981258273125
0.0,0.2562814,0.7625861,0.00724338,0.43765458,inlet,0.05023981258273125
0.0,0.26130652,0.7685207,0.0074577928,0.43846372,inlet,0.05023981258273125
0.0,0.26633164,0.77414,0.0076719187,0.4392251,inlet,0.05023981258273125
0.0,0.2713568,0.77946585,0.007883742,0.43994197,inlet,0.05023981258273125
0.0,0.2763819,0.7845208,0.008091196,0.4406177,inlet,0.05023981258273125
0.0,0.28140703,0.7893274,0.008292373,0.44125563,inlet,0.05023981258273125
0.0,0.28643215,0.79390866,0.008485395,0.44185898,inlet,0.05023981258273125
0.0,0.2914573,0.79828745,0.008668359,0.44243112,inlet,0.05023981258273125
0.0,0.2964824,0.80248666,0.008839566,0.4429754,inlet,0.05023981258273125
0.0,0.30150753,0.8065285,0.008997355,0.4434949,inlet,0.05023981258273125
0.0,0.30653265,0.81043494,0.00914022,0.4439928,inlet,0.05023981258273125
0.0,0.3115578,0.8142271,0.009266783,0.44447204,inlet,0.05023981258273125
0.0,0.31658292,0.8179254,0.009375781,0.44493544,inlet,0.05023981258273125
0.0,0.32160804,0.8215494,0.009466141,0.44538572,inlet,0.05023981258273125
0.0,0.32663316,0.8251175,0.009536941,0.44582546,inlet,0.05023981258273125
0.0,0.33165827,0.82864684,0.009587411,0.44625697,inlet,0.05023981258273125
0.0,0.33668342,0.83215386,0.00961699,0.44668245,inlet,0.05023981258273125
0.0,0.34170854,0.8356534,0.009625312,0.44710386,inlet,0.05023981258273125
0.0,0.34673366,0.83915955,0.009612098,0.44752306,inlet,0.05023981258273125
0.0,0.35175878,0.84268403,0.009577338,0.4479415,inlet,0.05023981258273125
0.0,0.35678393,0.8462384,0.009521168,0.44836068,inlet,0.05023981258273125
0.0,0.36180905,0.84983194,0.009443924,0.44878167,inlet,0.05023981258273125
0.0,0.36683416,0.8534735,0.00934606,0.44920546,inlet,0.05023981258273125
0.0,0.37185928,0.8571696,0.009228263,0.44963276,inlet,0.05023981258273125
0.0,0.37688443,0.8609266,0.009091269,0.4500642,inlet,0.05023981258273125
0.0,0.38190955,0.8647488,0.008936014,0.45050007,inlet,0.05023981258273125
0.0,0.38693467,0.8686394,0.008763533,0.45094055,inlet,0.05023981258273125
0.0,0.3919598,0.87260073,0.008574981,0.45138574,inlet,0.05023981258273125
0.0,0.39698493,0.8766338,0.00837164,0.4518354,inlet,0.05023981258273125
0.0,0.40201005,0.8807386,0.008154806,0.45228925,inlet,0.05023981258273125
0.0,0.40703517,0.88491374,0.007925924,0.4527469,inlet,0.05023981258273125
0.0,0.4120603,0.88915753,0.0076864287,0.45320788,inlet,0.05023981258273125
0.0,0.4170854,0.8934665,0.007437814,0.45367125,inlet,0.05023981258273125
0.0,0.42211056,0.8978364,0.0071815886,0.4541365,inlet,0.05023981258273125
0.0,0.42713568,0.9022624,0.006919291,0.45460263,inlet,0.05023981258273125
0.0,0.4321608,0.90673804,0.006652456,0.4550687,inlet,0.05023981258273125
0.0,0.4371859,0.9112563,0.0063825846,0.45553365,inlet,0.05023981258273125
0.0,0.44221106,0.91580904,0.0061111227,0.4559964,inlet,0.05023981258273125
0.0,0.44723618,0.920387,0.005839549,0.45645556,inlet,0.05023981258273125
0.0,0.4522613,0.9249799,0.005569201,0.45690995,inlet,0.05023981258273125
0.0,0.45728642,0.92957664,0.0053014085,0.45735815,inlet,0.05023981258273125
0.0,0.46231157,0.9341648,0.005037464,0.4577986,inlet,0.05023981258273125
0.0,0.46733668,0.9387313,0.0047785453,0.4582298,inlet,0.05023981258273125
0.0,0.4723618,0.9432618,0.0045257173,0.45865,inlet,0.05023981258273125
0.0,0.47738692,0.9477415,0.004280068,0.45905748,inlet,0.05023981258273125
0.0,0.48241204,0.9521542,0.004042521,0.45945027,inlet,0.05023981258273125
0.0,0.4874372,0.95648366,0.003813956,0.4598264,inlet,0.05023981258273125
0.0,0.4924623,0.9607125,0.0035952218,0.46018386,inlet,0.05023981258273125
0.0,0.49748743,0.9648227,0.0033870153,0.4605202,inlet,0.05023981258273125
0.0,0.5025126,0.96879655,0.003190022,0.46083343,inlet,0.05023981258273125
0.0,0.5075377,0.97261494,0.0030049272,0.46112087,inlet,0.05023981258273125
0.0,0.5125628,0.97625965,0.0028322786,0.46138018,inlet,0.05023981258273125
0.0,0.51758796,0.9797114,0.002672594,0.46160868,inlet,0.05023981258273125
0.0,0.52261305,0.9829514,0.002526354,0.4618037,inlet,0.05023981258273125
0.0,0.5276382,0.9859606,0.0023940913,0.4619625,inlet,0.05023981258273125
0.0,0.53266335,0.9887209,0.0022761375,0.46208227,inlet,0.05023981258273125
0.0,0.53768843,0.99121356,0.0021729618,0.46216032,inlet,0.05023981258273125
0.0,0.5427136,0.9934206,0.0020849481,0.46219373,inlet,0.05023981258273125
0.0,0.5477387,0.9953245,0.0020123906,0.46217987,inlet,0.05023981258273125
0.0,0.5527638,0.99690807,0.001955621,0.4621158,inlet,0.05023981258273125
0.0,0.55778897,0.99815536,0.0019149855,0.4619991,inlet,0.05023981258273125
0.0,0.56281406,0.9990505,0.0018906705,0.46182704,inlet,0.05023981258273125
0.0,0.5678392,0.9995787,0.001882948,0.46159735,inlet,0.05023981258273125
0.0,0.57286435,0.9997256,0.0018920265,0.46130764,inlet,0.05023981258273125
0.0,0.57788944,0.99947846,0.0019180812,0.46095577,inlet,0.05023981258273125
0.0,0.5829146,0.9988245,0.0019613095,0.4605399,inlet,0.05023981258273125
0.0,0.5879397,0.99775267,0.002021864,0.4600583,inlet,0.05023981258273125
